Namesch,Code,Gender,Date ,Math,English,Mhw ,Mcomp,Mgrade,MConseq,Ehw,Ecomp,Egrade,Econseq,Comments
8,0169,F,3/9/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,3/9/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,3/9/2016,1,1,1,5,,2,1,5,,2,
8,0172,F,3/9/2016,1,1,1,3,,2,2,3,,1,
8,0173,F,3/9/2016,1,1,1,5,,2,1,5,,2,
8,0174,F,3/9/2016,1,1,1,4,,2,1,4,,2,
8,0175,F,3/9/2016,1,1,1,4,,2,1,4,,2,
8,0176,F,3/9/2016,1,1,1,5,,2,1,5,,2,
8,0177,M,3/9/2016,1,1,1,4,,2,1,4,,2,
8,0178,M,3/9/2016,1,1,1,4,,2,1,4,,2,
8,0179,M,3/9/2016,1,1,1,3,,2,1,3,,2,
8,0180,M,3/9/2016,1,1,1,1,,2,4,1,,2,
8,0181,M,3/9/2016,1,1,1,1,,2,2,1,,1,
8,0181,M,3/9/2016,1,1,1,4,,2,1,3,,2,
8,0182,M,3/9/2016,1,1,1,4,,2,1,4,,2,
8,0183,M,3/9/2016,1,1,1,4,,2,1,3,,2,
8,0184,M,3/9/2016,1,1,1,2,,2,1,4,,2,
8,0185,M,3/9/2016,1,1,1,4,,2,2,3,,1,
8,0186,M,3/9/2016,1,1,1,5,,2,1,5,,2,
8,0187,M,3/9/2016,1,1,1,4,,2,1,5,,2,
8,0188,M,3/9/2016,1,1,1,3,,2,1,4,,2,
8,0189,M,3/9/2016,1,1,1,4,,2,1,4,,2,
8,0190,M,3/9/2016,1,1,1,3,,2,1,2,,2,
8,0191,M,3/9/2016,1,1,1,5,,2,2,3,,1,
8,0192,M,3/9/2016,1,1,1,5,,2,1,5,,2,
8,0193,M,3/9/2016,1,1,1,3,,2,1,3,,2,
8,0194,F,3/9/2016,2,2,7,,,2,7,,,2,
8,0195,F,3/9/2016,2,2,7,,,2,7,,,2,
8,0196,F,3/9/2016,2,2,7,,,2,7,,,2,
8,0197,F,3/9/2016,2,2,7,,,2,7,,,2,
8,0198,F,3/9/2016,2,2,7,,,2,7,,,2,
8,0199,F,3/9/2016,2,2,7,,,2,7,,,2,
8,0200,F,3/9/2016,2,2,7,,,2,7,,,2,
8,0201,F,3/9/2016,2,2,7,,,2,7,,,2,
8,0202,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0203,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0204,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0205,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0206,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0207,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0208,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0209,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0210,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0211,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0212,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0213,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0214,M,3/9/2016,2,2,7,,,2,7,,,2,
8,0168,F,3/10/2016,1,1,1,5,,2,1,5,,2,
8,0169,F,3/10/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,3/10/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,3/10/2016,1,1,1,5,,2,1,5,,2,
8,0172,F,3/10/2016,1,1,1,3,,2,2,3,,1,
8,0173,F,3/10/2016,1,1,1,5,,2,1,5,,2,
8,0174,F,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0175,F,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0176,F,3/10/2016,1,1,1,5,,2,1,5,,2,
8,0177,M,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0178,M,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0179,M,3/10/2016,1,1,1,3,,2,1,3,,2,
8,0180,M,3/10/2016,1,1,1,1,,2,4,1,,2,
8,0181,M,3/10/2016,1,1,1,1,,2,2,2,,1,
8,0181,M,3/10/2016,1,1,1,4,,2,1,3,,2,
8,0182,M,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0183,M,3/10/2016,1,1,1,4,,2,1,3,,2,
8,0184,M,3/10/2016,1,1,1,2,,2,1,4,,2,
8,0185,M,3/10/2016,1,1,1,4,,2,2,3,,1,
8,0186,M,3/10/2016,1,1,1,5,,2,1,5,,2,
8,0187,M,3/10/2016,1,1,1,4,,2,1,5,,2,
8,0188,M,3/10/2016,1,1,1,3,,2,1,4,,2,
8,0189,M,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0190,M,3/10/2016,1,1,1,3,,2,1,2,,2,
8,0191,M,3/10/2016,1,1,1,5,,2,2,3,,1,
8,0192,M,3/10/2016,1,1,1,5,,2,1,5,,2,
8,0193,M,3/10/2016,1,1,1,3,,2,1,3,,2,
8,0194,F,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0195,F,3/10/2016,1,1,1,3,,2,1,4,,2,
8,0196,F,3/10/2016,1,1,1,5,,2,1,4,,2,
8,0197,F,3/10/2016,1,1,1,5,,2,1,4,,2,
8,0198,F,3/10/2016,1,1,1,5,,2,1,4,,2,
8,0199,F,3/10/2016,1,1,1,5,,2,1,4,,2,
8,0200,F,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0201,F,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0202,M,3/10/2016,1,1,1,4,,2,1,3,,2,
8,0203,M,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0204,M,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0205,M,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0206,M,3/10/2016,1,1,1,3,,2,2,3,,1,
8,0207,M,3/10/2016,1,1,4,3,,2,1,4,,2,
8,0208,M,3/10/2016,1,1,1,4,,2,1,5,,2,
8,0209,M,3/10/2016,1,1,1,4,,2,1,5,,2,
8,0210,M,3/10/2016,1,1,1,4,,2,1,4,,2,
8,0211,M,3/10/2016,1,1,1,3,,2,2,3,,1,
8,0212,M,3/10/2016,1,1,1,3,,2,2,3,,1,
8,0213,M,3/10/2016,1,1,1,3,,2,1,4,,2,
8,0214,M,3/10/2016,1,1,1,3,,2,1,3,,2,
8,0168,F,3/11/2016,1,1,1,5,,2,1,5,,2,
8,0169,F,3/11/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,3/11/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,3/11/2016,1,1,1,5,,2,1,5,,2,
8,0172,F,3/11/2016,1,1,1,3,,2,2,3,,1,
8,0173,F,3/11/2016,1,1,1,5,,2,1,5,,2,
8,0174,F,3/11/2016,1,1,1,4,,2,1,4,,2,
8,0175,F,3/11/2016,1,1,1,4,,2,1,4,,2,
8,0176,F,3/11/2016,1,1,1,5,,2,1,5,,2,
8,0177,M,3/11/2016,1,1,1,4,,2,1,4,,2,
8,0178,M,3/11/2016,1,1,1,4,,2,1,4,,2,
8,0179,M,3/11/2016,1,1,1,3,,2,1,3,,2,
8,0180,M,3/11/2016,1,1,1,1,,2,4,1,,2,
8,0181,M,3/11/2016,1,1,1,1,,2,2,2,,1,
8,0181,M,3/11/2016,1,1,1,4,,2,1,3,,2,
8,0182,M,3/11/2016,1,1,1,4,,2,1,4,,2,
8,0183,M,3/11/2016,1,1,1,4,,2,1,3,,2,
8,0184,M,3/11/2016,1,1,1,2,,2,1,4,,2,
8,0185,M,3/11/2016,1,1,1,5,,2,2,3,,1,
8,0186,M,3/11/2016,1,1,1,5,,2,1,5,,2,
8,0187,M,3/11/2016,1,1,1,4,,2,1,5,,2,
8,0188,M,3/11/2016,1,1,1,3,,2,1,4,,2,
8,0189,M,3/11/2016,1,1,1,5,,2,1,4,,2,
8,0190,M,3/11/2016,1,1,1,3,,2,1,2,,2,
8,0191,M,3/11/2016,1,1,1,5,,2,2,3,,1,
8,0192,M,3/11/2016,1,1,1,5,,2,1,5,,2,
8,0193,M,3/11/2016,1,1,1,3,,2,1,3,,2,
8,0194,F,3/11/2016,2,2,7,,,2,7,,,2,
8,0195,F,3/11/2016,2,2,7,,,2,7,,,2,
8,0196,F,3/11/2016,2,2,7,,,2,7,,,2,
8,0197,F,3/11/2016,2,2,7,,,2,7,,,2,
8,0198,F,3/11/2016,2,2,7,,,2,7,,,2,
8,0199,F,3/11/2016,2,2,7,,,2,7,,,2,
8,0200,F,3/11/2016,2,2,7,,,2,7,,,2,
8,0201,F,3/11/2016,2,2,7,,,2,7,,,2,
8,0202,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0203,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0204,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0205,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0206,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0207,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0208,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0209,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0210,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0211,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0212,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0213,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0214,M,3/11/2016,2,2,7,,,2,7,,,2,
8,0168,F,3/14/2016,1,1,1,5,,2,1,5,,2,
8,0169,F,3/14/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,3/14/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,3/14/2016,1,1,1,5,,2,1,5,,2,
8,0172,F,3/14/2016,1,1,1,3,,2,2,3,,1,
8,0173,F,3/14/2016,1,1,1,5,,2,1,5,,2,
8,0174,F,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0175,F,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0176,F,3/14/2016,1,1,1,5,,2,1,5,,2,
8,0177,M,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0178,M,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0179,M,3/14/2016,1,1,1,3,,2,1,3,,2,
8,0180,M,3/14/2016,1,1,1,1,,2,4,1,,2,
8,0181,M,3/14/2016,1,1,1,1,,2,2,2,,1,
8,0181,M,3/14/2016,1,1,1,4,,2,1,3,,2,
8,0182,M,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0183,M,3/14/2016,1,1,1,4,,2,1,3,,2,
8,0184,M,3/14/2016,1,1,1,2,,2,1,4,,2,
8,0185,M,3/14/2016,1,1,1,5,,2,2,3,,1,
8,0186,M,3/14/2016,1,1,1,5,,2,1,5,,2,
8,0187,M,3/14/2016,1,1,1,4,,2,1,5,,2,
8,0188,M,3/14/2016,1,1,1,3,,2,1,4,,2,
8,0189,M,3/14/2016,1,1,1,5,,2,1,4,,2,
8,0190,M,3/14/2016,1,1,1,3,,2,1,2,,2,
8,0191,M,3/14/2016,1,1,1,5,,2,2,3,,1,
8,0192,M,3/14/2016,1,1,1,5,,2,1,5,,2,
8,0193,M,3/14/2016,1,1,1,3,,2,1,3,,2,
8,0194,F,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0195,F,3/14/2016,1,1,1,3,,2,1,4,,2,
8,0196,F,3/14/2016,1,1,1,5,,2,1,4,,2,
8,0197,F,3/14/2016,1,1,1,5,,2,1,4,,2,
8,0198,F,3/14/2016,1,1,1,5,,2,1,4,,2,
8,0199,F,3/14/2016,1,1,1,5,,2,1,4,,2,
8,0200,F,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0201,F,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0202,M,3/14/2016,1,1,1,4,,2,1,3,,2,
8,0203,M,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0204,M,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0205,M,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0206,M,3/14/2016,1,1,1,3,,2,2,3,,1,
8,0207,M,3/14/2016,1,1,4,,,2,1,4,,2,
8,0208,M,3/14/2016,1,1,1,4,,2,1,5,,2,
8,0209,M,3/14/2016,1,1,1,4,,2,1,5,,2,
8,0210,M,3/14/2016,1,1,1,4,,2,1,4,,2,
8,0211,M,3/14/2016,1,1,1,3,,2,2,3,,1,
8,0212,M,3/14/2016,1,1,1,3,,2,2,3,,1,
8,0213,M,3/14/2016,1,1,1,3,,2,1,4,,2,
8,0214,M,3/14/2016,1,1,1,3,,2,1,3,,2,
8,0168,F,3/15/2016,2,2,7,,,2,7,,,2,
8,0169,F,3/15/2016,2,2,7,,,2,7,,,2,
8,0170,F,3/15/2016,2,2,7,,,2,7,,,2,
8,0171,F,3/15/2016,2,2,7,,,2,7,,,2,
8,0172,F,3/15/2016,2,2,7,,,2,7,,,2,
8,0173,F,3/15/2016,2,2,7,,,2,7,,,2,
8,0174,F,3/15/2016,2,2,7,,,2,7,,,2,
8,0175,F,3/15/2016,2,2,7,,,2,7,,,2,
8,0176,F,3/15/2016,2,2,7,,,2,7,,,2,
8,0177,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0178,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0179,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0180,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0181,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0181,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0182,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0183,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0184,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0185,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0186,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0187,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0188,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0189,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0190,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0191,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0192,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0193,M,3/15/2016,2,2,7,,,2,7,,,2,
8,0194,F,3/15/2016,1,1,1,4,,2,1,4,,2,
8,0195,F,3/15/2016,1,1,1,3,,2,1,4,,2,
8,0196,F,3/15/2016,1,1,1,5,,2,1,4,,2,
8,0197,F,3/15/2016,1,1,1,5,,2,1,4,,2,
8,0198,F,3/15/2016,1,1,1,5,,2,1,4,,2,
8,0199,F,3/15/2016,1,1,1,5,,2,1,4,,2,
8,0200,F,3/15/2016,1,1,1,4,,2,1,4,,2,
8,0201,F,3/15/2016,1,1,1,4,,2,1,4,,2,
8,0202,M,3/15/2016,1,1,1,4,,2,1,3,,2,
8,0203,M,3/15/2016,1,1,1,4,,2,1,4,,2,
8,0204,M,3/15/2016,1,1,1,4,,2,1,4,,2,
8,0205,M,3/15/2016,1,1,1,4,,2,1,4,,2,
8,0206,M,3/15/2016,1,1,1,3,,2,2,3,,2,
8,0207,M,3/15/2016,1,1,1,5,,2,1,4,,2,
8,0208,M,3/15/2016,1,1,1,4,,2,1,5,,2,
8,0209,M,3/15/2016,1,1,1,4,,2,1,5,,2,
8,0210,M,3/15/2016,1,1,1,4,,2,1,4,,2,
8,0211,M,3/15/2016,1,1,1,3,,2,1,4,,2,
8,0212,M,3/15/2016,1,1,1,3,,2,3,4,,2,
8,0213,M,3/15/2016,1,1,1,3,,2,1,4,,2,
8,0214,M,3/15/2016,1,1,1,3,,2,1,3,,2,
8,0168,F,3/16/2016,1,1,1,5,,2,1,5,,2,
8,0169,F,3/16/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,3/16/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,3/16/2016,1,1,1,5,,2,1,5,,2,
8,0172,F,3/16/2016,1,1,1,3,,2,2,3,,1,
8,0173,F,3/16/2016,1,1,1,5,,2,1,5,,2,
8,0174,F,3/16/2016,1,1,1,4,,2,1,4,,2,
8,0175,F,3/16/2016,1,1,1,4,,2,1,4,,2,
8,0176,F,3/16/2016,1,1,1,5,,2,1,5,,2,
8,0177,M,3/16/2016,1,1,1,4,,2,1,4,,2,
8,0178,M,3/16/2016,1,1,1,4,,2,1,4,,2,
8,0179,M,3/16/2016,1,1,1,3,,2,1,3,,2,
8,0180,M,3/16/2016,1,1,1,1,,2,4,1,,2,
8,0181,M,3/16/2016,1,1,1,1,,2,2,2,,1,
8,0181,M,3/16/2016,1,1,1,4,,2,1,3,,2,
8,0182,M,3/16/2016,1,1,1,4,,2,1,4,,2,
8,0183,M,3/16/2016,1,1,1,4,,2,1,3,,2,
8,0184,M,3/16/2016,1,1,1,2,,2,1,4,,2,
8,0185,M,3/16/2016,1,1,1,5,,2,2,3,,1,
8,0186,M,3/16/2016,1,1,1,5,,2,1,5,,2,
8,0187,M,3/16/2016,1,1,1,4,,2,1,5,,2,
8,0188,M,3/16/2016,1,1,1,3,,2,1,4,,2,
8,0189,M,3/16/2016,1,1,1,4,,2,1,4,,2,
8,0190,M,3/16/2016,1,1,1,2,,2,1,2,,2,
8,0191,M,3/16/2016,1,1,1,5,,2,2,3,,1,
8,0192,M,3/16/2016,1,1,1,5,,2,1,5,,2,
8,0193,M,3/16/2016,1,1,1,2,,2,1,3,,2,
8,0194,F,3/16/2016,2,2,7,,,2,7,,,2,
8,0195,F,3/16/2016,2,2,7,,,2,7,,,2,
8,0196,F,3/16/2016,2,2,7,,,2,7,,,2,
8,0197,F,3/16/2016,2,2,7,,,2,7,,,2,
8,0198,F,3/16/2016,2,2,7,,,2,7,,,2,
8,0199,F,3/16/2016,2,2,7,,,2,7,,,2,
8,0200,F,3/16/2016,2,2,7,,,2,7,,,2,
8,0201,F,3/16/2016,2,2,7,,,2,7,,,2,
8,0202,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0203,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0204,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0205,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0206,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0207,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0208,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0209,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0210,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0211,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0212,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0213,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0214,M,3/16/2016,2,2,7,,,2,7,,,2,
8,0168,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0169,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0170,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0171,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0172,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0173,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0174,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0175,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0176,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0177,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0178,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0179,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0180,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0181,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0181,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0182,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0183,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0184,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0185,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0186,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0187,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0188,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0189,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0190,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0191,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0192,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0193,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0194,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0195,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0196,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0197,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0198,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0199,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0200,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0201,F,3/17/2016,2,2,7,,,2,7,,,2,
8,0202,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0203,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0204,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0205,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0206,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0207,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0208,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0209,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0210,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0211,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0212,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0213,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0214,M,3/17/2016,2,2,7,,,2,7,,,2,
8,0168,F,3/18/2016,1,1,1,5,,2,1,5,,2,
8,0169,F,3/18/2016,1,1,1,5,,2,1,5,,2,
8,0170,F,3/18/2016,1,1,1,5,,2,1,5,,2,
8,0171,F,3/18/2016,1,1,1,5,,2,1,5,,2,
8,0172,F,3/18/2016,1,1,1,3,,2,2,3,,1,
8,0173,F,3/18/2016,1,1,1,5,,2,1,5,,2,
8,0174,F,3/18/2016,1,1,1,4,,2,1,4,,2,
8,0175,F,3/18/2016,1,1,1,4,,2,1,4,,2,
8,0176,F,3/18/2016,1,1,1,5,,2,1,5,,2,
8,0177,M,3/18/2016,1,1,1,4,,2,1,5,,2,
8,0178,M,3/18/2016,1,1,1,4,,2,1,4,,2,
8,0179,M,3/18/2016,1,1,1,3,,2,1,3,,2,
8,0180,M,3/18/2016,1,1,1,1,,2,4,1,,2,
8,0181,M,3/18/2016,1,1,1,1,,2,2,2,,1,
8,0181,M,3/18/2016,1,1,1,4,,2,1,1,,2,
8,0182,M,3/18/2016,1,1,1,4,,2,1,4,,2,
8,0183,M,3/18/2016,1,1,1,4,,2,1,3,,2,
8,0184,M,3/18/2016,1,1,1,2,,2,1,4,,2,
8,0185,M,3/18/2016,1,1,1,5,,2,2,3,,1,Call Parent 
8,0186,M,3/18/2016,1,1,1,5,,2,1,5,,2,
8,0187,M,3/18/2016,1,1,1,4,,2,1,5,,2,
8,0188,M,3/18/2016,1,1,1,3,,2,1,4,,2,
8,0189,M,3/18/2016,1,1,1,4,,2,1,4,,2,
8,0190,M,3/18/2016,1,1,1,3,,2,1,1,,2,
8,0191,M,3/18/2016,1,1,1,5,,2,2,3,,1,Stay after at break time 
8,0192,M,3/18/2016,1,1,1,5,,2,1,5,,2,
8,0193,M,3/18/2016,1,1,1,3,,2,1,2,,2,
8,0194,F,3/18/2016,2,2,7,,,2,7,,,2,
8,0195,F,3/18/2016,2,2,7,,,2,7,,,2,
8,0196,F,3/18/2016,2,2,7,,,2,7,,,2,
8,0197,F,3/18/2016,2,2,7,,,2,7,,,2,
8,0198,F,3/18/2016,2,2,7,,,2,7,,,2,
8,0199,F,3/18/2016,2,2,7,,,2,7,,,2,
8,0200,F,3/18/2016,2,2,7,,,2,7,,,2,
8,0201,F,3/18/2016,2,2,7,,,2,7,,,2,
8,0202,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0203,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0204,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0205,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0206,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0207,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0208,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0209,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0210,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0211,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0212,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0213,M,3/18/2016,2,2,7,,,2,7,,,2,
8,0214,M,3/18/2016,2,2,7,,,2,7,,,2,
